ΚΑ,,,,,,,,,
Task Name,Quantity for 1,Brand,Comment,Quantity for 10,Link,Stock,Buy,Ημερομηνία απογραφής,
"Ακροχιτώνιο 2,5mm²  Γκρι",1,,,12 πακετα,,37 σακουλάκια ,,12/2/25,
"Ακροχιτώνιο 1,5mm² Μαύρο",1,,,12 πακετα,,59 σακουλάκια,,12/2/25,
Ακροχιτώνιο 2x2.5 Γκρί,,,,,,11 σακουλάκια,,24/11/25,
Ακροχιτώνιο 1 mm² κόκκινο,,,,,,20 σακουλάκια,,24/11/25,
Ασφάλειες Γυάλινες 5*20 10A,12,SIBA,,26,,780,,12/2/25,
Καλώδιο Γείωσης 1x2.5 κιτρινοπρασινο (Πολυκλωνο),4m,,κατα προσεγγιση,40m,,5,,12/2/25,
Καλώδιο Μαύρο 2.5  (Πολυκλωνο) ,5-6m,,,60m,,5,,12/2/25,
Καλώδιο Μπλε 1x2.5  (Πολυκλωνο),5-6m,,κατα προσεγγιση,60m,,5,,12/2/25,
Καλώδιο Καφέ 1x2.5  (Πολυκλωνο),5-6m,,,60m,,5,,12/2/25,
Καλώδιο Γκρί 1x2.5  (Πολυκλωνο),5-6m,,,60m,,1,,24/11/25,
Καλώδιο Κόκκινο 1x2.5  (Πολυκλωνο),5-6m,,,60m,,2,,24/11/25,
Καλ'ωδιο Κίτρινο 1x2.5 (πολύκλωνο),,,,100m,,2,,24/11/25,
Καλώδιο Πράσινο 1x2.5  (Πολυκλωνο),5-6m,,,60m,,3,,12/2/25,
Καλώδιο Κόκκινο 1x1.5  (Πολυκλωνο),5-6m,,,60m,,7,,12/2/25,
Καλώδιο Μαύρο 1x1.5  (Πολυκλωνο),5-6m,,,60m,,3,,12/2/25,
Καλώδιο Πορτοκαλί 1x1.5  (Πολυκλωνο),5-6m,,,60m,,6,,12/2/25,
Καλώδιο Κόκκινο 1x1  (Πολυκλωνο),5-6m,,,60m,,4,,12/2/25,
Καλώδιο Μάυρο 1x1  (Πολυκλωνο),5-6m,,,60m,,3,,24/11/25,
Καλώδιο μονοπολικό NYA,,,,,,10,,12/2/25,
Καλώδιο 3x2.5 (με μονωση) ΕΥΚΑΜΠΤΟ ΠΟΛΥΚΛΩΝΟ,0.5-1m,,,30m,,6 κουλουρες,,25/08/25,
"Καλώδιο Κοκκινομαυρο 2x1 ή 2x1,5 Πολυκλωνο",10m,,, 100m,https://www.kafkas.gr/ilektrologiko-yliko/kalodia/icheion-mikrofonika/icheion/kalodio-icheion-2x1mm-mavro-kokkino_192094/,6,,12/2/25,
Κανάλι 60*60 Διάτριτο,1.8m,Legrand,,22m,https://www.kafkas.gr/ilektrologiko-yliko/kanalia-schares-exartimata/kanalia-plastika/kanalia-pinacon-ermarion-diatrita/legrand-kanali-diatrito-60mmx60mm-anoichto-gkri_145962/,`141 κανάλια + 86 καπακια,,12/2/25,
