Πλακετες,,,,,
Item #,Description / Value,Distributor,Για Παραγγελια,stock,Ημερομηνία
1,Master,PCB Way,,50,24/11/25
2,Node,PCB Way,,382,24/11/25
3,LS Controller,PCB Way,-,816,24/11/25
4,Mosfet,PCB Way,-,2740,24/11/25
5,I/O Adapter,PCB Way,-,2318,24/11/25
6,MCP Expander,PCB Way,-,398,24/11/25
7,Reeds,PCB Way,,680,24/11/25
8,PCB Hands,PCB Way,,82,24/11/25
9,Telephone,PCB Way,,20,24/11/25
10,ADC Boards,PCB Way,,17,24/11/25
11,RFID,,,606,24/11/25
12,Capacitive (Letter floor),PCB Way,,0,24/11/25
13,Buttons,PCB Way,,168,24/11/25
14,Raspberry,,,51,24/11/25
