z,,,,,,,,,,,,Απογράφων/ ουσα/ οντες,,,,
Item #,Description / Value,Link,Distributor,ΤΟΠΟΘΕΣΙΑ,Για Παραγγελια,stock,,,,29/09/2025 Γρηγορης & Βετερανος,,,,,,
1,7-Segment,https://grobotronics.com/single-digit-7-segment-14-2mm-red-common-anode.html,GROBOTRONICS,ΕΞΩ Α,,52,22/12/25,,,,,,,,,
2,Jack Mono 6.35mm HQ Black (Male) 2μ,,GROBOTRONICS,,,-,,,,,,,,,,
3,DC Power Plug 5.5 x 2.1mm Barrel,https://grobotronics.com/dc-power-plug-5.5-x-2.1mm-barrel.html,GROBOTRONICS,ΕΞΩ ΚΑΙ ΓΡΑΦΕΙΟ,-,50,24/11/25,,,,,,,,,
4,Laser 5mW,,GROBOTRONICS,ΓΡΑΦΕΙΟ,-,28,24/11/25,,,,,,,,,
5,Laser 200mW,,GROBOTRONICS,,-,169,24/11/25,,,,,,,,,
6,Led Holders 5mm,https://grobotronics.com/led-holder-plastic-5mm.html,GROBOTRONICS,ΕΞΩ Α,-,567,22/12/25,,,,,,,,,
7,buttons 16mm momentary,https://grobotronics.com/metal-pushbutton-momentary-16mm-high.html,GROBOTRONICS,ΓΡΑΦΕΙΟ,,1000,24/11/25,,,,,,,,,
8,BUTtons 16mm momentary ADAPTERS,,,ΓΡΑΦΕΙΟ,,1000,24/11/25,,,,,,,,,
9,ΘΕΡΜΟΣΥΣΤΕΛΛΟΜΕΝΑ,https://grobotronics.com/heatshrink-set-580pcs-coloured.html,GROBOTRONICS,ΕΞΩ Γ,,,,,,,,,,,,
10,1.6,,,,,1,22/12/25,,,,,,,,,
11,3.2,,,,,5,22/12/25,,,,,,,,,
12,6.4,,,,,3,22/12/25,,,,,,,,,
13,Red Led,https://grobotronics.com/led-diffused-5mm-elrd.html,GROBOTRONICS,ΕΞΩ Α,,200,22/12/25,,,,,,,,,
14,Arcade Push Button Illuminated -  33mm (Transparent),https://grobotronics.com/?match=all&subcats=Y&pcode_from_q=Y&pshort=Y&pfull=Y&pname=Y&pkeywords=Y&search_performed=Y&q=Arcade+Push+Button+Illuminated+-++33mm+%28Transparent%29&dispatch=products.search&security_hash=90ddb4293034cfe349e6288542f3eb09,GROBOTRONICS,,,,,,,,,,,,,
15,Resistor 330ohm,,GROBOTRONICS,ΕΞΩ Α,-,1100,24/11/25,,,,,,,,,
